run_id,run_name,probe_id,state,created_at,model,layer,seed,final_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
x0f4o57o,llama_no_lora_long_form_layer16_seed43,llama_no_lora_long_form_layer16_seed43,finished,2026-03-02 14:46:11+00:00,llama,16,43,0.5862885117530823,0.8812331749035167,0.2725564167638384,,0.6421200626044513,0.8344173722106608,0.4023817239144524,,0.5469135474971483,0.8744055180335979,0.6079367243965634,,0.6479638009049774,0.8783906392763406,0.2880824905810034,,0.6148593871043292,0.8406762808424786,0.47456652685769535,,0.5590105752427622,0.8810318159060496,0.6533675311104779,,0.6671631909963588
wflhsqs9,llama_no_lora_long_form_layer16_seed44,llama_no_lora_long_form_layer16_seed44,finished,2026-03-02 14:50:44+00:00,llama,16,44,0.3619725704193115,0.8818420295717192,0.2722293859101812,,0.6440830835344987,0.8340480917150254,0.39863561610460274,,0.5460116189617211,0.8738249999758131,0.6022274164718823,,0.6447963800904978,0.8787298619004447,0.2875690386616505,,0.6147152611382348,0.840317755106928,0.47077785931439353,,0.5586862918190498,0.8808525003635705,0.6473180076628352,,0.6653426017874876
qni919ee,llama_no_lora_long_form_layer20_seed42,llama_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:50:44+00:00,llama,20,42,0.4025150239467621,0.8781788888265181,0.2656629568950907,,0.6362309998143089,0.8251735032148012,0.385640478924061,,0.5289015040984694,0.8688144964075992,0.5941364457412811,,0.6416289592760182,0.8740952936253458,0.2771037824962011,,0.5993117985118994,0.8285624391741049,0.4488736910733531,,0.5370313654133713,0.8745965764971402,0.6372057120802779,,0.651770936775902
4aryhr4u,llama_no_lora_long_form_layer20_seed43,llama_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:50:44+00:00,llama,20,43,0.6214630007743835,0.876278888033536,0.2636331619356202,,0.6315887205878452,0.827494253239295,0.38440523385986897,,0.5309971615778444,0.8704508617150583,0.5980324234446446,,0.6434389140271494,0.8723724373418704,0.27583023549097024,,0.6001585385627038,0.8307437562311761,0.44671080734728746,,0.5421118057181977,0.8757667224557364,0.6393284446159784,,0.656901688182721
v8qejznt,llama_no_lora_long_form_layer20_seed44,llama_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:50:44+00:00,llama,20,44,0.4049457013607025,0.8768084294545108,0.2624906575663137,,0.6334721595882962,0.825902802611394,0.3823197157352065,,0.531235907366634,0.8695579939184436,0.5928185221128518,,0.638235294117647,0.8732451906537371,0.2770843570843571,,0.6003747275118454,0.8300914823228299,0.4500851426138782,,0.5395715855657846,0.8755827893456398,0.6340425531914894,,0.6504468718967229
k5b7gy5e,llama_no_lora_long_form_layer24_seed42,llama_no_lora_long_form_layer24_seed42,finished,2026-03-02 14:50:44+00:00,llama,24,42,0.3927442729473114,0.8698460805580827,0.25883436610283034,,0.6101811815263815,0.8186875453458466,0.3814087403598972,,0.513276918587686,0.8658930806414111,0.5967140687560403,,0.6287330316742081,0.8672945050062288,0.2700408805289072,,0.5856918947159818,0.8235005535646664,0.44099270854237743,,0.5231952726683121,0.8704370987494702,0.6346098473941837,,0.632406487917908
jg69cqpj,llama_no_lora_long_form_layer24_seed43,llama_no_lora_long_form_layer24_seed43,finished,2026-03-02 14:50:44+00:00,llama,24,43,0.6449342966079712,0.867118136512977,0.2581095221485874,,0.6048226649335491,0.8192826693781186,0.380987684830512,,0.515054248348675,0.8670419991157267,0.6025817083218896,,0.6287330316742081,0.8644467547773776,0.2677685407288141,,0.5816023204280542,0.823692058620924,0.4378299238404814,,0.5243662961428288,0.8707389659449257,0.6326726957860304,,0.6333995365772923
5o6iy05l,llama_no_lora_long_form_layer24_seed44,llama_no_lora_long_form_layer24_seed44,finished,2026-03-02 14:50:44+00:00,llama,24,44,0.3951850831508637,0.8684091312626383,0.25880159194010743,,0.6110300554420777,0.8192514248109188,0.38217947927583584,,0.5216064938854551,0.8667238042072967,0.599338660788096,,0.6287330316742081,0.8657200279955817,0.2687008754033602,,0.5845749184787504,0.8243411202184023,0.4421114573442285,,0.5284018231934711,0.8710735484560503,0.631953801732435,,0.637537239324727
82vjeyys,llama_no_lora_long_form_layer26_seed42,llama_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:50:44+00:00,llama,26,42,0.38688111305236816,0.8667294677910653,0.26128598633359473,,0.6076876143990237,0.8184549842134284,0.3832802711307384,,0.5220839854630341,0.8676250003628037,0.6046766033091754,,0.6343891402714932,0.8646299536715014,0.2671533212504907,,0.583908335885564,0.8228908650414475,0.4317414896201712,,0.5252850991766804,0.8715595348727156,0.6312542176805167,,0.6411784177424694
gzg4irhz,llama_no_lora_long_form_layer26_seed43,llama_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:51:46+00:00,llama,26,43,0.6332159042358398,0.8645183115930957,0.26180749860100727,,0.6049022468631456,0.819189545219485,0.3850221170661455,,0.5227736955195373,0.8683686026835858,0.6075637160865991,,0.642081447963801,0.86236904262827,0.26628162219458656,,0.5794404309366387,0.8235205816741915,0.43136830719307734,,0.5308159331255518,0.871939271963908,0.6297263320762015,,0.6340615690168818
