run_id,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,metric_key,value,test_model,metric_family,metric
4hd86xs1,apertus_no_lora_fp32_only_layer20_seed43_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,43,1e-3,float32,none,0.7915925979614258,train/longfact_test_apertus/all_auc,0.7240335018623104,apertus,all,auc
dtswvc78,apertus_no_lora_fp32_only_layer20_seed43_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,43,1e-4,float32,none,0.9363940954208374,train/longfact_test_apertus/all_auc,0.71689906093922,apertus,all,auc
r4canywa,apertus_no_lora_fp32_only_layer20_seed43_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,43,3e-4,float32,none,0.4842445254325866,train/longfact_test_apertus/all_auc,0.7430862038793238,apertus,all,auc
5pryw2ji,apertus_no_lora_fp32_only_layer20_seed43_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,43,3e-5,float32,none,2.3771839141845703,train/longfact_test_apertus/all_auc,0.6912633330920157,apertus,all,auc
cu47livm,apertus_no_lora_fp32_only_layer20_seed44_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,44,1e-3,float32,none,0.8405814170837402,train/longfact_test_apertus/all_auc,0.719171480737377,apertus,all,auc
7cq66mkt,apertus_no_lora_fp32_only_layer20_seed44_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,44,1e-4,float32,none,0.00021276120969559997,train/longfact_test_apertus/all_auc,0.716951513748345,apertus,all,auc
wrlr6qli,apertus_no_lora_fp32_only_layer20_seed44_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,44,3e-4,float32,none,0.7323926091194153,train/longfact_test_apertus/all_auc,0.7349970332332063,apertus,all,auc
nkk8fdiv,apertus_no_lora_fp32_only_layer20_seed44_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,44,3e-5,float32,none,3.7443130016326904,train/longfact_test_apertus/all_auc,0.6940876021296879,apertus,all,auc
jeyu4ke4,apertus_no_lora_fp32_only_layer26_seed42_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,42,1e-3,float32,none,0.02182931825518608,train/longfact_test_apertus/all_auc,0.6584706539445168,apertus,all,auc
6jnxw4n2,apertus_no_lora_fp32_only_layer26_seed42_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,42,1e-4,float32,none,0.017278315499424934,train/longfact_test_apertus/all_auc,0.6430854877671026,apertus,all,auc
vz2hbt4t,apertus_no_lora_fp32_only_layer26_seed42_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,42,3e-4,float32,none,0.006629477255046368,train/longfact_test_apertus/all_auc,0.6536875188358903,apertus,all,auc
g2rdqxou,apertus_no_lora_fp32_only_layer26_seed42_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,42,3e-5,float32,none,0.029366448521614075,train/longfact_test_apertus/all_auc,0.616003362374581,apertus,all,auc
g557mw8r,apertus_no_lora_fp32_only_layer26_seed43_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,43,1e-3,float32,none,5.589945316314697,train/longfact_test_apertus/all_auc,0.662042372914199,apertus,all,auc
